filename,classID,class,set,ground_truth
A-1_German_Studio.wav,0,A-1,train,A-1_Sheet_Music.jpg
A#-1_German_Studio.wav,1,A#-1,test,A#-1_Sheet_Music.jpg
B-1_German_Studio.wav,2,B-1,train,B-1_Sheet_Music.jpg
C0_German_Studio.wav,3,C0,train,C0_Sheet_Music.jpg
C#0_German_Studio.wav,4,C#0,test,C#0_Sheet_Music.jpg
D0_German_Studio.wav,5,D0,train,D0_Sheet_Music.jpg
D#0_German_Studio.wav,6,D#0,test,D#0_Sheet_Music.jpg
E0_German_Studio.wav,7,E0,train,E0_Sheet_Music.jpg
F0_German_Studio.wav,8,F0,train,F0_Sheet_Music.jpg
F#0_German_Studio.wav,9,F#0,train,F#0_Sheet_Music.jpg
G0_German_Studio.wav,10,G0,train,G0_Sheet_Music.jpg
G#0_German_Studio.wav,11,G#0,test,G#0_Sheet_Music.jpg
A0_German_Studio.wav,12,A0,train,A0_Sheet_Music.jpg
A#0_German_Studio.wav,13,A#0,train,A#0_Sheet_Music.jpg
B0_German_Studio.wav,14,B0,train,B0_Sheet_Music.jpg
C1_German_Studio.wav,15,C1,train,C1_Sheet_Music.jpg
C#1_German_Studio.wav,16,C#1,test,C#1_Sheet_Music.jpg
D1_German_Studio.wav,17,D1,train,D1_Sheet_Music.jpg
D#1_German_Studio.wav,18,D#1,train,D#1_Sheet_Music.jpg
E1_German_Studio.wav,19,E1,test,E1_Sheet_Music.jpg
F1_German_Studio.wav,20,F1,train,F1_Sheet_Music.jpg
F#1_German_Studio.wav,21,F#1,test,F#1_Sheet_Music.jpg
G1_German_Studio.wav,22,G1,train,G1_Sheet_Music.jpg
G#1_German_Studio.wav,23,G#1,train,G#1_Sheet_Music.jpg
A1_German_Studio.wav,24,A1,train,A1_Sheet_Music.jpg
A#1_German_Studio.wav,25,A#1,train,A#1_Sheet_Music.jpg
B1_German_Studio.wav,26,B1,test,B1_Sheet_Music.jpg
C2_German_Studio.wav,27,C2,train,C2_Sheet_Music.jpg
C#2_German_Studio.wav,28,C#2,train,C#2_Sheet_Music.jpg
D2_German_Studio.wav,29,D2,train,D2_Sheet_Music.jpg
D#2_German_Studio.wav,30,D#2,train,D#2_Sheet_Music.jpg
E2_German_Studio.wav,31,E2,test,E2_Sheet_Music.jpg
F2_German_Studio.wav,32,F2,train,F2_Sheet_Music.jpg
F#2_German_Studio.wav,33,F#2,train,F#2_Sheet_Music.jpg
G2_German_Studio.wav,34,G2,train,G2_Sheet_Music.jpg
G#2_German_Studio.wav,35,G#2,train,G#2_Sheet_Music.jpg
A2_German_Studio.wav,36,A2,test,A2_Sheet_Music.jpg
A#2_German_Studio.wav,37,A#2,train,A#2_Sheet_Music.jpg
B2_German_Studio.wav,38,B2,train,B2_Sheet_Music.jpg
C3_German_Studio.wav,39,C3,train,C3_Sheet_Music.jpg
C#3_German_Studio.wav,40,C#3,train,C#3_Sheet_Music.jpg
D3_German_Studio.wav,41,D3,test,D3_Sheet_Music.jpg
D#3_German_Studio.wav,42,D#3,train,D#3_Sheet_Music.jpg
